,Sl_no,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max Price (Rs./Quintal),Modal_Price,Price_Date
2795,2796,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2152,1940,2019-07-11
2457,2458,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2225,1950,2019-07-14
912,913,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,1977,2341,2250,2019-07-15
1224,1225,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2060,2000,2019-07-18
2798,2799,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2225,2030,2019-07-21
67,68,Pune,Baramati,Wheat,Kalyan,FAQ,1900,2051,1950,2019-07-22
118,119,Pune,Baramati,Wheat,Kalyan,FAQ,1850,2075,2015,2019-07-25
285,286,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2225,2030,2019-07-28
940,941,Pune,Baramati,Wheat,Kalyan,FAQ,1951,2071,2000,2019-07-29
460,461,Pune,Baramati,Wheat,Kalyan,FAQ,1951,2050,2000,2019-08-01
2699,2700,Pune,Pune,Wheat,Sharbati,FAQ,3800,4500,4200,2019-08-03
2804,2805,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2300,2030,2019-08-04
1535,1536,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2175,2501,2251,2019-08-05
3281,3282,Pune,Pune,Wheat,Sharbati,FAQ,4000,4600,4300,2019-08-06
2695,2696,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2019-08-07
2362,2363,Pune,Pune,Wheat,Sharbati,FAQ,3600,4400,4000,2019-08-08
1463,1464,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-08-09
2890,2891,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-08-10
622,623,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2251,2050,2019-08-11
1094,1095,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-08-12
1315,1316,Pune,Pune,Wheat,Sharbati,FAQ,2500,3000,2800,2019-08-13
1906,1907,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-08-14
1570,1571,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2301,2040,2019-08-15
1317,1318,Pune,Pune,Wheat,Sharbati,FAQ,2600,2850,2750,2019-08-17
1859,1860,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2200,2061,2019-08-18
833,834,Pune,Baramati,Wheat,Kalyan,FAQ,1980,2200,2000,2019-08-19
2551,2552,Pune,Pune,Wheat,Sharbati,FAQ,3900,4400,4200,2019-08-20
3255,3256,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3900,2019-08-21
2126,2127,Pune,Pune,Wheat,Sharbati,FAQ,3400,4300,3900,2019-08-22
2979,2980,Pune,Pune,Wheat,Sharbati,FAQ,3200,4500,3900,2019-08-23
1488,1489,Pune,Pune,Wheat,Sharbati,FAQ,3200,4500,3900,2019-08-24
623,624,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2300,2200,2019-08-25
2353,2354,Pune,Pune,Wheat,Sharbati,FAQ,3400,4500,4000,2019-08-26
1486,1487,Pune,Pune,Wheat,Sharbati,FAQ,2600,3000,2800,2019-08-27
3247,3248,Pune,Pune,Wheat,Sharbati,FAQ,3400,4400,3900,2019-08-28
3036,3037,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4100,2019-08-29
1043,1044,Pune,Pune,Wheat,Sharbati,FAQ,3500,4300,3900,2019-08-30
1470,1471,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-08-31
3196,3197,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2151,2075,2019-09-01
3256,3257,Pune,Pune,Wheat,Sharbati,FAQ,3600,4200,3900,2019-09-02
334,335,Pune,Pune,Wheat,Sharbati,FAQ,3600,4100,3900,2019-09-03
1334,1335,Pune,Pune,Wheat,Sharbati,FAQ,3800,4300,4100,2019-09-04
2200,2201,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2201,2100,2019-09-05
1059,1060,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4050,2019-09-06
1907,1908,Pune,Pune,Wheat,Sharbati,FAQ,3600,4400,4000,2019-09-07
1566,1567,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,2060,2019-09-08
257,258,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2031,2326,2151,2019-09-09
353,354,Pune,Pune,Wheat,Sharbati,FAQ,3800,4500,4200,2019-09-10
1108,1109,Pune,Pune,Wheat,Sharbati,FAQ,3650,4300,4000,2019-09-11
3261,3262,Pune,Pune,Wheat,Sharbati,FAQ,3650,4300,4000,2019-09-12
2985,2986,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-09-13
313,314,Pune,Pune,Wheat,Sharbati,FAQ,3500,4500,4000,2019-09-14
3197,3198,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2200,2050,2019-09-15
868,869,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2001,2411,2100,2019-09-16
2130,2131,Pune,Pune,Wheat,Sharbati,FAQ,3500,4300,3900,2019-09-17
1948,1949,Pune,Pune,Wheat,Sharbati,FAQ,3700,4500,4100,2019-09-18
1914,1915,Pune,Pune,Wheat,Sharbati,FAQ,3700,4300,4000,2019-09-19
1329,1330,Pune,Pune,Wheat,Sharbati,FAQ,3700,4300,4000,2019-09-20
2891,2892,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-09-21
2202,2203,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2152,2025,2019-09-22
1464,1465,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-09-23
2697,2698,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2019-09-24
2427,2428,Pune,Pune,Wheat,Sharbati,FAQ,3800,4400,4100,2019-09-25
1643,1644,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2011,2201,2100,2019-09-26
2893,2894,Pune,Pune,Wheat,Sharbati,FAQ,3500,4200,3900,2019-09-27
2796,2797,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1800,2175,2000,2019-09-29
425,426,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2025,2230,2111,2019-09-30
2149,2150,Pune,Pune,Wheat,Sharbati,FAQ,3700,4400,4050,2019-10-01
343,344,Pune,Pune,Wheat,Sharbati,FAQ,3700,4400,4050,2019-10-02
1805,1806,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1900,2200,2000,2019-10-03
2131,2132,Pune,Pune,Wheat,Sharbati,FAQ,3500,4400,3950,2019-10-04
1046,1047,Pune,Pune,Wheat,Sharbati,FAQ,3500,4400,3950,2019-10-05
3116,3117,Pune,Shirur,Wheat,Other,FAQ,1900,2000,2000,2019-10-06
255,256,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2025,2300,2100,2019-10-07
2408,2409,Pune,Pune,Wheat,Sharbati,FAQ,3600,4400,4000,2019-10-08
3043,3044,Pune,Pune,Wheat,Sharbati,FAQ,3650,4300,4000,2019-10-09
1961,1962,Pune,Pune,Wheat,Sharbati,FAQ,3850,4500,4200,2019-10-10
2416,2417,Pune,Pune,Wheat,Sharbati,FAQ,3650,4500,4100,2019-10-11
2368,2369,Pune,Pune,Wheat,Sharbati,FAQ,3650,4500,4100,2019-10-12
509,510,Pune,Dound,Wheat,Maharashtra 2189,FAQ,1850,2300,2050,2019-10-13
400,401,Pune,Baramati,Wheat,Kalyan,FAQ,2000,2111,2100,2019-10-14
1498,1499,Pune,Pune,Wheat,Sharbati,FAQ,3600,4500,4050,2019-10-15
